,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
480,2025-02-17 06:00:00,0.84,18.0
481,2025-02-17 08:00:00,0.84,20.2
482,2025-02-17 10:00:00,0.82,19.0
483,2025-02-17 12:00:00,0.8,19.6
484,2025-02-17 14:00:00,0.78,18.5
485,2025-02-17 16:00:00,0.85,18.7
486,2025-02-17 18:00:00,0.82,19.7
487,2025-02-17 20:00:00,0.84,18.7
488,2025-02-17 22:00:00,0.83,19.5
489,2025-02-18 00:00:00,0.84,22.8
490,2025-02-18 02:00:00,0.82,20.1
491,2025-02-18 04:00:00,0.8,21.0
492,2025-02-18 06:00:00,0.81,18.7
493,2025-02-18 08:00:00,0.85,16.7
494,2025-02-18 22:00:00,0.82,20.5
495,2025-02-18 23:59:59,0.8,20.5
496,2025-02-19 01:59:59,0.84,19.8
497,2025-02-19 03:59:59,0.83,18.3
498,2025-02-19 05:59:59,0.85,18.5
499,2025-02-19 07:59:59,0.84,19.3
500,2025-02-19 09:59:59,0.83,18.9
501,2025-02-19 11:59:59,0.85,19.5
502,2025-02-19 13:59:59,0.82,18.1
503,2025-02-19 15:59:59,0.8,17.5
504,2025-02-19 17:59:59,0.83,17.1
505,2025-02-19 19:59:59,0.84,17.5
506,2025-02-19 21:59:59,0.83,20.4
507,2025-02-19 23:59:59,0.82,21.0
508,2025-02-20 01:59:59,0.8,19.6
509,2025-02-20 03:59:59,0.82,19.8
510,2025-02-20 08:00:00,0.85,16.8
511,2025-02-20 10:00:00,0.82,20.0
512,2025-02-20 11:59:59,0.82,17.6
513,2025-02-20 13:59:59,0.83,17.5
514,2025-02-20 15:59:59,0.84,20.2
515,2025-02-20 17:59:59,0.81,18.7
516,2025-02-20 19:59:59,0.83,19.4
517,2025-02-20 21:59:59,0.84,17.8
518,2025-02-20 23:59:59,0.84,18.9
519,2025-02-21 01:59:59,0.82,19.5
520,2025-02-21 03:59:59,0.84,20.5
521,2025-02-21 05:59:59,0.82,19.9
522,2025-02-21 07:59:59,0.85,20.9
523,2025-02-21 09:59:59,0.83,20.0
524,2025-02-21 11:59:59,0.86,19.5
525,2025-02-21 13:59:59,0.82,19.4
526,2025-02-21 15:59:59,0.8,19.0
527,2025-02-21 17:59:59,0.83,19.4
528,2025-02-21 19:59:59,0.84,19.7
529,2025-02-21 21:59:59,0.85,18.8
530,2025-02-21 23:59:59,0.83,19.6
531,2025-02-22 01:59:59,0.82,21.5
532,2025-02-22 03:59:59,0.84,22.1
533,2025-02-22 05:59:59,0.84,18.8
534,2025-02-22 08:00:00,0.82,18.7
535,2025-02-22 10:00:00,0.85,22.1
536,2025-02-22 12:00:00,0.83,20.0
537,2025-02-22 14:00:00,0.81,18.8
538,2025-02-22 16:00:00,0.84,19.5
539,2025-02-22 18:00:00,0.82,18.0
540,2025-02-22 20:00:00,0.84,19.6
